target,abstractive_summary
"CharNMT is brittle This study investigates the impact of character-level noise on 4 different neural machine translation systems This work empirically investigates the performance of character-level NMT systems in the face of character-level noise, both synthesized and natural. This paper investigates the impact of noisy input on Machine Translation and tests ways to make NMT models more robust","A charCNN model that is more robust to different kinds of noise, by training on noisy texts. This work introduces a charcNN-based approach to solving the problem of typos and noise in a text-based way. The authors present a new method for learning a word-to-word translation using a combination of a single key and a two-step process to solve the problems of language-specific errors."
"Feedforward neural networks that can have weights pruned after training could have had the same weights pruned before training Shows that there exists sparse subnetworks that can be trained from scratch with good generalization performance and proposes a unpruned, randomly initialized NNs contain subnetworks that can be trained from scratch with similar generalization accuracy. The work examines the hypothesis that randomly initialized neural networks contain sub-networks that converge equally fast or faster and can reach the same or better classification accuracy","A method for iterative pruning of a fully-connected network. This article considers the problem of training a pruned model with a small capacity. The authors present a method for learning pruned models from scratch, and use it as a proxy for the speed at which a network learns. The paper presents a strategy to improve validation accuracy in an early-stopping manner."
"A new regularization term can improve your training of wasserstein gans The study proposes a regularization scheme for Wasserstein GAN based on relaxation of the constraints on the Lipschitz constant of 1. The work deals with regularization/penalization in the fitting of GANs, when based on a L_1 Wasserstein metric.","A GAN-based regularization term that penalizes the deviation of the norm of the critic function (as a function of the network's input) from one. This work presents a method to improve GAN training by reducing the infimum and minimizing the Wasserstein-1 distance, which can be achieved by alternating gradient descent updates for the generator and the 1-Lipschitz function f."
"DeFINE uses a deep, hierarchical, sparse network with new skip connections to learn better word embeddings efficiently. This work describes a new method for learning deep word-level representations efficiently by using a hierarchical structure with skip-connections for the use of low dimensional input and output layers.","This article introduces a new adaptive embedding method for learning input and output representations jointly while significantly reducing the number of parameters presented by these layers. The authors introduce a weight-tying mechanism that allows for faster, memory-efficient end-to-end training while providing similar or better benefits compared to existing post-training methods which require a hierarchical group transformation (HGT) to learn deep representations efficiently using sparse and dense connections."
"We prove fluctuation-dissipation relations for SGD, which can be used to (i) adaptively set learning rates and (ii) probe loss surfaces. Paper's concepts work in the discrete-time formalism, use the master equation, and remove reliance on a locally quadratic approximation of the loss function or on any Gaussian asumptions of the SGD noise. The authors derive the stationary fluctuation-dissipation relations that link measurable quantities and hyperparameters in SGD and use the relations to set training schedule adaptively and analyze the loss-function landscape.","An analogous fluctuation-dissipation relation that quantitatively link the noise in mini-batched data to the observable evolution of the model performance. This work introduces a new lossfunction landscape with a two-point noise matrix, which can be used to test stationarity and delineate the shape of the landscape."
"We show that NN parameter and hyperparameter cost landscapes can be generated as quantum states using a single quantum circuit and that these can be used for training and meta-training. Describes a method where a deep learning framework can be quantised by considering the two state form of a Bloch sphere/qubit and creating a quantum binary neural network. This study proposes quantum amplitude amplification, a new algorithm for training and model selection in binary neural networks. Proposes a novel idea of outputting a quantum state that represents a complete cost landscape of all parameters for a given binary neural network, by constructing a quantum binary neural network (QBNN).","This paper introduces a new method for binary classification using a gate-based quantum computation. The article presents a novel way to train binary qubits in the form of qRAM, which is based on a different, more general form of quantum computation as opposed to the latter."
"Transfer learning for estimating causal effects using neural networks. Develops algorithms to estimate conditional average treatment effect by auxiliary dataset in different environments, both with and without base learner. The authors propose methods to address a novel task of transfer learning for estimating the CATE function, and evaluate them using a synthetic setting and a real-world experimental dataset. Using neural network regression and comparing transfer learning frameworks to estimate a conditional average treatment effect under string ignorability assumptions","A method for assessing transfer learning for CATE estimation on real data. This article presents a method to evaluate transfer learning in observational studies, where the number of covariates is large. The authors introduce a new network layer that can be used to train DGPs with memory to solve forgetting during transfer by using lateral connections to existing frozen layers. This study explores the problem of learning CATEs from a set of large field experiments."
"We show that catastrophic forgetting occurs within what is considered to be a single task and find that examples that are not prone to forgetting can be removed from the training set without loss of generalization. Studies the forgetting behavior of training examples during SGD, and shows there exist ""support examples"" in neural network training across different network architectures. This study analyzes the extent to which networks learn to correctly classify specific examples and then forget these examples over the course of training. The article studies whether some examples in training neural networks are harder to learn than others. Such examples are forgotten and relearned multiple times through learning.","A method for identifying important, or most informative examples that are never forgotten once learnt. This work investigates the problem of forgetting dynamics in neural networks by studying the extent to which a neural network learns unforgettable examples. The authors present a method for learning memorable examples that can be used to identify ""important"" samples and detect outliers and examples with noisy labels."
"A class of networks that generate simple models on the fly (called explanations) that act as a regularizer and enable consistent model diagnostics and interpretability. The authors claim that the previous art directly integrate neural networks into the graphical models as components, which renders the models uninterpretable. Proposal for a combination of neural nets and graphical models by using a deep neural net to predict the parameters of a graphical model.","A novel algorithm for image and text classification and survival analysis. This work introduces a novel algorithm to interpret explanations by using a domain-specific deep architecture. The authors present a method for learning the decision boundary of a prediction model, which can be used in a social context, and show that post-hoc approximations of CEN's decision boundary are consistent with the generated explanations."
"We proposed ""Difference-Seeking Generative Adversarial Network"" (DSGAN) model to learn the target distribution which is hard to collect training data. This paper presents DS-GAN, which aims to learn the difference between any two distributions whose samples are difficult or impossible to collect, and shows its effectiveness on semi-supervised learning and adversarial training tasks. This work considers the problem of learning a GAN to capture a target distribution with only very few training samples from that distribution available.","A GAN prone generator to output samples located in high-density areas of pd, and adversarial training requires a bad GAN for semi-supervised learning. This work introduces a GAN that learns the mixture distribution of the generator and the generator distribution by minimizing the statistical distance between the two support sets. The paper presents a method for training GANs with the ability to learn different target distributions"
"We present NormCo, a deep coherence model which considers the semantics of an entity mention, as well as the topical coherence of the mentions within a single document to perform disease entity normalization. Uses a GRU autoencoder to represent the ""context"" (related enitities of a given disease within the span of a sentence), solving the BioNLP task with significant improvements over the best-known methods.","A combination of two sub-models which leverage both topical coherence and semantic features to perform disease normalization. This work focuses on the problem of disease normalisation, an essential step in the construction of a biomedical knowledge base as diseases are central to biomedicine."
"We present a single shot analysis of a trained neural network to remove redundancy and identify optimal network structure This study proposes a set of heuristics for identifying a good neural network architecture, based on PCA of unit activations over the dataset This study presents a framework for optimising neural networks architectures through the identification of redundant filters across layers","This paper introduces a new method for determining the number of significant filters in a subset selection problem. The authors address the problem of pruning out a particular filter and retraining the system to reduce the dimensionality of the space that the data resides in after passing through a layer. This work presents a novel approach to identifying a network structure that has many principal filters, and uses it as a starting point to fine tune the network."
"The first deep learning approach to MFSR to solve registration, fusion, up-sampling in an end-to-end manner. This paper proposes an end-to-end multi-frame super-resolution algorithm, that relies on a pair-wise co-registrations and fusing blocks (convolutional residual blocks), embedded in a encoder-decoder network 'HighRes-net' that estimates the super-resolution image. This paper proposes a framework including recursive fusion to co-registration loss to solve the problem of super-resolution results and high-resolution labels not being pixel aligned.","This work introduces a deep-learning approach that solves the co-registration, fusion and registration-at-theloss problems in an end-to-end learning framework. The authors present a single image super-resolution system that can be paired with HighRes-net to account for pixel and sub-pixel shifts in the loss."
We introduce a technique that allows for gradient based training of quantized neural networks. Proposes a unified and general way of training neural networks with reduced precision quantized synaptic weights and activations. A new approach to quantizing activations which is state of the art or competitive on several real image problems. A method for learning neural networks with quantized weights and activations by stochastically quantizing values and replacing the resulting categotical distribution with a continuous relaxation,"A method for quantizing neural networks with a stochastic rounding that can be seen as a special case of the proposed approach. This article introduces a method to quantize neural networks by using a ""soft"" quantizer, which is used to train the network in a manner that corresponds to discretizing p(x) onto the input signal and then sampling grid points g i from it."
"Interpretation by Identifying model-learned features that serve as indicators for the task of interest. Explain model decisions by highlighting the response of these features in test data. Evaluate explanations objectively with a controlled dataset. This article proposes a method for producing visual explanations for deep neural network outputs and releases a new synthetic dataset. A method for Deep Neural Networks that identifies automatically relevant features of the set of the classes, supporting interpretation and explanation without relying on additional annotations.","A method for identifying the top-responding filters that are important for the prediction of a given class of interest. This paper introduces a method to automatically identify the network-encoded features that serve as indicators for the classification of the classes of interest to be predicted using heatmap visualizations. The authors present a novel algorithm for defining the class label of an image, a set of identified filters and a class prediction."
"A method that build representations of sequential data and its dynamics through generative models with an active process Combines neural networks and Gaussian distributions to create an architecture and generative model for images and video which minimizes the error between generated and supplied images. The study proposes a Bayesian network model, realized as a neural network, that learns different data in the form of a linear dynamical system","A hierarchical model for generative adversarial networks (GANs), where the inputs are constant and the representations have to adapt to the input over several iterations. This work introduces a hierarchic architecture that uses an encoder to determine how the observations change over time. The authors present a method for defining the dynamics of interactions in a latent space, which can be understood as the transition from Z t to Z T+1"
"Obtains state-of-the-art accuracy for quantized, shallow nets by leveraging distillation. Proposes small and low-cost models by combining distillation and quantization for vision and neural machine translation experiments This article presents a framework of using the teacher model to help the compression for the deep learning model in the context of model compression.","A method for quantized distillation and leverages distillation in the training process by incorporating distillation loss, expressed with respect to the teacher, into the training of a student network whose weights are quantized to a limited set of levels. This study introduces a method to quantize weights of the student's weights in a quantized model, and shows that quantization can provide better compression than a distillation process."
"We use question-answering to evaluate how much knowledge about the environment can agents learn by self-supervised prediction. Proposes QA as a tool to investigate what agents learn about in the world, arguing this as an intuitive method for humans which allows for arbitrary complexity. The authors propose a framework to assess representations built by predictive models that contain sufficient information to answer questions about the environment they are trained on, showing those by SimCore contained sufficient information for the LSTM to answer questions accurately.",QA decoders are trained to extract complex high-level information from the agent's internal state. This work introduces a new auxiliary network that learns to encode relevant aspects of the environment in a way that is self-supervised by a loss on the agent’s future prediction against the ground-truth egocentric observation at tk.
"We train with state aligned vector rewards an agent predicting state changes from action distributions, using a new reinforcement learning technique inspired by quantile regression. Presents algorithm that aims to speed up reinforcement learning in situations where the reward is aligned with the state space. This paper addresses RL in the continuous action space, using a re-parametrised policy and a novel vector-based training objective. This study proposes to mix distributional RL with a net in charge of modeling the evolution of the world in terms of quantiles, claiming improvements in sample efficiency.","A new reinforcement learning algorithm to train stochastic continuous action policies with arbitrary action probability distributions. This article introduces a novel reinforcement learning approach to learn a quantile function of the action dimensions and the quantile functions of the actions. The paper presents a method for learning a state-to-state vector reward from two samples of the same network, which can be used to train a deep neural network to approximate the action probability functions."
"Learn representations for images that factor out a single attribute. This work builds on Conditional VAE GANs to allow attribute manipulation in the synthesis process. This study proposes a generative model to learn the representation which can separate the identity of an object from an attribute, and extends the autoencoder adversarial by adding an auxiliary network.","A VAE-GAN that learns a latent space representation that separates an object category from its attributes. The authors introduce a VAE architecture for image synthesis that is competitive with state of the art. This article presents a new VAE model for image attribute manipulation, where label information is partially contained in rather than solely in y."
We take face recognition as a breaking point and propose model distillation with knowledge transfer from face classification to alignment and verification This study proposes to transfer the classifier from the model for face classification to the task of alignment and verification. The manuscript presents experiments on distilling knowledge from a face classification model to student models for face alignment and verification.,"A method to distill knowledge from the teacher network by distilling its soft-prediction, which is effective in face alignment and verification. This work presents a method for distillation of classifiers using a distillation trick to boost the distillation performance of classification. The paper introduces a new distillation method that initializes the deep layers of the student network by regressing the mid-level target of the school network."
"New state-of-the-art framework for image restoration The article proposes a convolutional neural network architecture that includes blocks for local and non-local attention mechanisms, which are claimed to be responsible for achieving excellent results in four image restoration applications. This article proposes a residual non-local attention network for image restoration","This article presents a novel method for image restoration using residual non-local attention to train very deep networks by preserving more low-level features, being more suitable for image super-resolution. This work introduces a new approach for image reconstruction that can be used to improve the quality of information in the mask branch. The authors present a method for photo restoration which uses a large receptive field size to extract features from the hierarchical representations."
"We present an influence-directed approach to constructing explanations for the behavior of deep convolutional networks, and show how it can be used to answer a broad set of questions that could not be addressed by prior work. A way to measure influence that satisfies certain axioms, and a notion of influence that can be used to identify what input part is most influential for the output of a neuron in a deep neural network. This study proposes to measure the influence of single neurons with regard to a quantity of interest represented by another neuron.","A method for interpreting predictions for convolutional neural networks. This study presents a method to interpret the prediction of neural networks using an influence-directed explanation of the network's internal units. This work introduces a new approach to understanding the role of neural network activations in the classification of neurons in the input image, and shows that it is better at localizing the features used by the network in its prediction."
"In visual prediction tasks, letting your predictive model choose which times to predict does two things: (i) improves prediction quality, and (ii) leads to semantically coherent ""bottleneck state"" predictions, which are useful for planning. A method on prediction of frames in a video, the approach including that target prediction is floating, resolved by a minimum on the error of prediction. Reformulates the task of video prediction/interpolation so that a predictor is not forced to generate frames at fixed time intervals, but instead is trained to generate frames that happen at any point in the future.","A novel technical approach to solve video prediction problem by reframeing the prediction problem to be time-agnostic. This work introduces a method for identifying ""bottleneck states"" across several tasks, and shows that these bottleneck states correspond to subgoals that aid in planning towards complex end goals. The authors address the problem of video prediction using video prediction as a subgoal for hierarchical planners."
We perform functional variational inference on the stochastic processes defined by Bayesian neural networks. Fitting of variational Bayesian Neural Network approximations in functional form and considering matching to a stochastic process prior implicitly via samples. Presents a novel ELBO objective for training BNNs which allows for more meaningful priors to be encoded in the model rather than the less informative weight priors features in the literature. Presents a new variational inference algorithm for Bayesian neural network models where the prior is specified functionally rather than via a prior over weights.,"A variational inference method that approximates the functional ELBO by using finite measurement sets and the spectral Stein gradient estimator. This article introduces a method for estimating the posterior dependencies of a shallow BNN, showing that under certain assumptions, the limiting distribution is a Gaussian process (GP). The authors present a technique for measuring the posterior function of an implicit distribution, which can be applied to stochastic processes."
"Learning deep latent variable MRFs with a saddle-point objective derived from the Bethe partition function approximation. A method for learning deep latent-variable MRF with an optimization objective that utilizes Bethe free energy, that also solves the underlying constraints of Bethe free energy optimizations. An objective for learning latent variable MRFs based on Bethe free energy and amortized inference, different from optimizing the standard ELBO.","Using a saddlepoint objective to learn deep, undirected graphical models using the Bethe free energy approximation to the model's partition functions. This article introduces a method for learning deep-linear text HMMs with latent variables that can be optimized efficiently without sampling and outperforms other approximate inference methods in terms of held out log likelihood."
"In this work, we point to a new connection between DNNs expressivity and Sharkovsky’s Theorem from dynamical systems, that enables us to characterize the depth-width trade-offs of ReLU networks Shows how the expressive power of NN depends on its depth and width, furthering the understanding of the benefit of deep nets for representing certain function classes. The authors derive depth-width tradeoff conditions for when relu networks are able to represent periodic functions using dynamical systems analysis.","A method for predicting periodic functions as a function of the depth. The paper presents a method to predict periodic functions that can be represented by shallow vs deep neural networks. This article introduces a technique for determining the case of periodic functions in a wide variety of layers, and shows that they can be approximated by shallow networks unless they are exponentially large."
"We propose a method that infers the time-varying data quality level for spatiotemporal forecasting without explicitly assigned labels. Introduces a new definition of data quality that relies on the notion of local variation defined in (Zhou and Scholkopf) and extends it to multiple heterogenous data sources. This article proposed a new way to evaluate the quality of different data sources with the time-vary graph model, with the quality level used as a regularization term in the objective function","Graph convolutional neural networks provide an efficient architecture to extract localized patterns from regular grids, such as images BID14. This work introduces a graph convolutionary neural network architecture that can be used to compute the data quality at vertex i. The study presents a method for generating localised patterns on graph connectivity by using a combination of two methods and a model with a different number of neighboring signals in the vertex."
"We show that training a deep network using batch normalization is equivalent to approximate inference in Bayesian models, and we demonstrate how this finding allows us to make useful estimates of the model uncertainty in conventional networks. This work proposes using batch normalisation at test time to get the predictive uncertainty, and shows Monte Carlo prediction at test time using batch norm is better than dropout. Proposes that the regularization procedure called batch normalization can be understood as performing approximate Bayesian inference, which performs similarly to MC dropout in terms of the estimates of uncertainty that it produces.","This study presents a method for estimating uncertainty in deep neural networks by minimizing the divergence of the model prior to the mini-batch optimization. This work introduces a new algorithm for batch normalization, which can be used to standardize the distribution of each unit's input into a Bayesian setting."
"Understanding the neural network Hessian eigenvalues under the data generating distribution. This work analyzes the spectrum of the Hessian matrix of large neural networks, with an analysis of max/min eigenvalues and visualization of spectra using a Lanczos quadrature approach. This paper uses the random matrix theory to study the spectrum distribution of the empirical Hessian and true Hessian for deep learning, and proposes an efficient spectrum visualization methods.","A random matrix theory to derive analytic results for the eigenspectrum perturbations between the Empirical Hessian and False Heissian. This work introduces a method for evaluating the spectral perturbations of the True Heses by using a random-matrix theory, which is used to test the validity of the theoretical results in Section 4.2."
"We introduce the Recurrent Discounted Unit which applies attention to any length sequence in linear time This article proposes the Recurrent Discounted Attention (RDA), an extension to Recurrent Weighted Average (RWA) by adding a discount factor. Extends the recurrent weight average to overcome the limitation of the original method while maintaining its advantage and proposes the method of using Elman nets as the base RNN","This article introduces a Recurrent Discounted Attention Unit, which extends the RWA by allowing it to discount the attention applied to previous timesteps. This work introduces an attention matrix for each encoded state and a translated word combination that can be used to calculate the weighted average of each of them. The paper presents a method for determining where in the sequence to attend to and how much attention it assigns to multiple tasks is needed."
"How you should evaluate adversarial attacks on seq2seq The authors investigate ways of generating adversarial examples, showing that adversarial training with the attack most consistent with the introduced meaning-preservation criteria results in improved robustness to this type of attack without degradation in the non-adversarial setting. The work is about meaning-preserving adversarial perturbations in the context of Seq2Seq models",A new constraint for adversarial attacks on word-based MT systems that produce more semantically similar adversarials. This study introduces a method of imbuing gradient-based word substitution attacks with simple constraints aimed at increasing the chance that the meaning is preserved (3.2). The authors present a novel defense technique for adversaries against word substitution and show that constrained substitution attacks do preserve meaning to a higher degree than unconstrained attacks.
Imposing graph structure on neural network layers for improved visual interpretability. A novel regularizer to impose graph structure upon hidden layers of a Neural Network to improve the interpretability of hidden representations. Highlights the contribution of graph spectral regularizer to the interpretability of neural networks.,"A new approach for interpreting latent representations obtained by hidden layers of neural networks. This work introduces a new set of regularizations that are defined in the spectral domain, rather than in the neuron domain, in order to directly enforce spectrral properties of the activation signal. This article presents a novel method for translating latent information into a graph topology and a generalization of the regularization used in deep learning."
A framework for learning high-quality sentence representations efficiently. Proposes a faster algorithm for learning SkipThought-style sentence representations from corpora of ordered sentences that swaps the word-level decoder for a contrastive classification loss. This article proposes a framework for unsupervised learning of sentence representations by maximizing a model of the probability of true context sentences relative to random candidate sentences,"An autoencoder model that reconstructs the surface form of a sentence, which forces the model to not only predict its semantics, but also aspects that are irrelevant to the meaning of the sentence as well. This article introduces a de-noising autoencoding approach for sentence reconstruction and encapsulates the Skip-gram approach of BID24 when words play the role of sentences."
Provides an unbiased version of truncated backpropagation by sampling truncation lengths and reweighting accordingly. Proposes stochastic determination methods for truncation points in backpropagation through time. A new approximation to backpropagation through time to overcome the computational and memory loads that arise when having to learn from long sequences.,"ARTBP is experimentally compared to truncated BPTT. This article introduces a method for recurrent learning, which can be used on short-term optimization, but must reflect on long-term effects once in a while. The authors present a technique for evaluating the theoretical properties of RTBP and demonstrate the soundness of the RTPB on real-world data using a stochastic gradient estimate."
"Exploration using Distributional RL and truncagted variance. Presents an RL method to manage exploration-explotation trade-offs via UCB techniques. A method to use the distribution learned by Quantile Regression DQN for exploration, in place of the usual epsilon-greedy strategy. Proposes new algorithsms (QUCB and QUCB+) to handle the exploration tradeoff in Multi-Armed Bendits and more generally in Reinforcement Learning","This article introduces a new algorithm for estimation of the arm's UCB using Hoeffdings Inequality 1 which is entirely based on counting the number of times the arm was pulled. The authors present a method to estimate the confidence bound for asymmetric distributions in the setting of multi-armed bandits and RL, showing that symmetry is in fact rare in Distributional RL."
"Building a TTS model with Gaussian Mixture VAEs enables fine-grained control of speaking style, noise condition, and more. Describes the conditioned GAN model to generate speaker conditioned Mel spectra by augmenting the z-space corresponding to the identification This study proposes a two layer latent variable model to obtain disentangled latent representation, thus facilitating fine-grained control over various attributes This work proposes a model that can control non-annotated attributes such as speaking style, accent, background noise, etc.",A new model for synthesis of clean speech using conditional auto-encoding. This work introduces a new latent-attribute model that incorporates the decoder inputs to include a vector inferred from the target speech and produces a conditional distribution with higher variance.
"In this paper, we propose KL-CPD, a novel kernel learning framework for time series CPD that optimizes a lower bound of test power via an auxiliary generative model as a surrogate to the abnormal distribution. Describes a novel approach to optimising the choice of kernel towards increased testing power and shown to offer improvements over alternatives.","A deep kernel parametrization for two-sample test using auxiliary generative models, which endows a data-driven kernel via optimizing test power in Eq. This article presents a deep neural learning framework that optimizes kernels with very limited samples from the abnormal distribution Q and shows how it improves performance in time series CPD. The authors introduce a method to optimize kernels by optimizing their surrogate distributions"
"A bottom-up algorithm that expands CNNs starting with one feature per layer to architectures with sufficient representational capacity. Proposes to dynamically adjust the feature map depth of a fully convolutional neural network, formulating a measure of self-resemblance and boosting performance. Introduces a simple correlation-based metric to measure whether filters in neural networks are being used effectively, as a proxy for effective capacity. Aims to address the deep learning architecture search problem via incremental addition and removal of channels in intermediate layers of the network.","Using a normalized pruning method to increase representational complexity by adding features to architectures that started with just one feature per layer, but large speed-ups can be introduced by adding stacks of features. This work presents a method for reducing the time evolution of the normalized cross-correlation for all weights with respect to their state at initialization and shows that this is a major detriment to the traditional DNN optimization method."
"A noval GAN framework that utilizes transformation-invariant features to learn rich representations and strong generators. Proposes a modified GAN objective consisting of a classic GAN term and an invariant encoding term. This paper presents the IVE-GAN, a model that introduces en encoder to the Generative Adversarial Network framework.","A GAN framework that tries to learn a rich representation of the covered modes of the data in their latent space. This work introduces a new GAN architecture, which extends the classical GAN by an additional encoding unit E to map samples from the true data distribution."
