target,abstractive_summary
"CharNMT is brittle This study investigates the impact of character-level noise on 4 different neural machine translation systems This study empirically investigates the performance of character-level NMT systems in the face of character-level noise, both synthesized and natural. This study investigates the impact of noisy input on Machine Translation and tests ways to make NMT models more robust","A charCNN model that is more robust to different kinds of noise, by training on noisy texts. This study studies the robustness of text translations in a Wrot-like language, and shows that it can be used to address typos and noise. The authors introduce a charcNN model which uses a keyboard type to detect errors in the first and last letters, and show that it performs well on Key in French, but not elsewhere."
"Feedforward neural networks that can have weights pruned after training could have had the same weights pruned before training Shows that there exists sparse subnetworks that can be trained from scratch with good generalization performance and proposes a unpruned, randomly initialized NNs contain subnetworks that can be trained from scratch with similar generalization accuracy. The article examines the hypothesis that randomly initialized neural networks contain sub-networks that converge equally fast or faster and can reach the same or better classification accuracy","A method to train a pruned network with a small capacity. The authors use iterative pruning as a proxy for the speed at which a network learns, but not after re-initializing the pruned layers and retraining them. This article considers the problem of training a fully connected network on a pruning task like MNIST."
"A new regularization term can improve your training of wasserstein gans The paper proposes a regularization scheme for Wasserstein GAN based on relaxation of the constraints on the Lipschitz constant of 1. The study deals with regularization/penalization in the fitting of GANs, when based on a L_1 Wasserstein metric.","A new training method for generating GANs by increasing the loss by regularization term that penalizes the deviation of the norm of the critic function (as a function of the network's input) from one. This work presents a new training technique to improve GAN training, with the aim of reducing the infimum by minimizing the Wasserstein-1 distance on Earth-Mover distance."
"DeFINE uses a deep, hierarchical, sparse network with new skip connections to learn better word embeddings efficiently. This work describes a new method for learning deep word-level representations efficiently by using a hierarchical structure with skip-connections for the use of low dimensional input and output layers.","This work introduces a new layer-to-layer approach for learning input and output representations jointly while significantly reducing the number of network parameters. The authors address the problem of learning representations from different subsets of the first layer using sparse and dense connections, allowing HGT to learn deep representations efficiently by learning a hierarchical link between the input layers and the output layers."
"We prove fluctuation-dissipation relations for SGD, which can be used to (i) adaptively set learning rates and (ii) probe loss surfaces. Paper's concepts work in the discrete-time formalism, use the master equation, and remove reliance on a locally quadratic approximation of the loss function or on any Gaussian asumptions of the SGD noise. The authors derive the stationary fluctuation-dissipation relations that link measurable quantities and hyperparameters in SGD and use the relations to set training schedule adaptively and analyze the loss-function landscape.","This work introduces an analogy of fluctuation-dissipation relations that quantitatively link the noise in mini-batched data to the evolution of the model performance and facilitates the learning process. The authors present a method for determining the properties of the lossfunction landscape, including the strength of its Hessian counterpart and the degree of anharmonicity."
"We show that NN parameter and hyperparameter cost landscapes can be generated as quantum states using a single quantum circuit and that these can be used for training and meta-training. Describes a method where a deep learning framework can be quantised by considering the two state form of a Bloch sphere/qubit and creating a quantum binary neural network. This work proposes quantum amplitude amplification, a new algorithm for training and model selection in binary neural networks. Proposes a novel idea of outputting a quantum state that represents a complete cost landscape of all parameters for a given binary neural network, by constructing a quantum binary neural network (QBNN).","A quantum annealing device that takes in a given set of weights and an empty register, and outputs the resultant accuracy according to the chosen neural network. This work introduces a new gate-based quantum computation method for binary qubits, which is used to perform binary classification, and shows that it can be used to train binary quebits by using a reversibility gate."
"Transfer learning for estimating causal effects using neural networks. Develops algorithms to estimate conditional average treatment effect by auxiliary dataset in different environments, both with and without base learner. The authors propose methods to address a novel task of transfer learning for estimating the CATE function, and evaluate them using a synthetic setting and a real-world experimental dataset. Using neural network regression and comparing transfer learning frameworks to estimate a conditional average treatment effect under string ignorability assumptions","A method for evaluating CATE estimation on real data that can be used in observational studies. This work presents a method for learning CATEs from the perspective of transfer learning by combining them with non-parametric methods. The authors introduce a new algorithm to learn features from the label presented in the image X, and show that it is possible to train CATE models using a set of different input functions."
"We show that catastrophic forgetting occurs within what is considered to be a single task and find that examples that are not prone to forgetting can be removed from the training set without loss of generalization. Studies the forgetting behavior of training examples during SGD, and shows there exist ""support examples"" in neural network training across different network architectures. This study analyzes the extent to which networks learn to correctly classify specific examples and then forget these examples over the course of training. The paper studies whether some examples in training neural networks are harder to learn than others. Such examples are forgotten and relearned multiple times through learning.","An implicit regularization method for learning unforgettable examples, based on forgetting dynamics, to identify important or most informative examples. This study investigates the problem of learning outliers with noisy labels in a neural network and shows that it is possible to find out how many memorable examples are forgotten once learnt. The authors address the issue of learning unimportant examples as a result of a linearly separable learning process."
"A class of networks that generate simple models on the fly (called explanations) that act as a regularizer and enable consistent model diagnostics and interpretability. The authors claim that the previous art directly integrate neural networks into the graphical models as components, which renders the models uninterpretable. Proposal for a combination of neural nets and graphical models by using a deep neural net to predict the parameters of a graphical model.","Using a domain-specific deep architecture for image and text classification and survival analysis, our results demonstrate that CENs are competitive with the state-of-the-art while offering additional insights behind each prediction, valuable for decision support. This work introduces a class of probabilistic models to be used in a social context, demonstrating that post-hoc approximations of CEN's decision boundary are consistent with the generated explanations."
"We proposed ""Difference-Seeking Generative Adversarial Network"" (DSGAN) model to learn the target distribution which is hard to collect training data. This article presents DS-GAN, which aims to learn the difference between any two distributions whose samples are difficult or impossible to collect, and shows its effectiveness on semi-supervised learning and adversarial training tasks. This work considers the problem of learning a GAN to capture a target distribution with only very few training samples from that distribution available.","A Generative Approach for learning data distribution from its samples and thereafter produce novel and high-dimensional samples from its learned distributions, such as image and speech synthesis. This work introduces a GAN method to learn the generator distribution from mixed distributions and shows that it is more stable to train DSGAN in a semi-supervised environment."
"We present NormCo, a deep coherence model which considers the semantics of an entity mention, as well as the topical coherence of the mentions within a single document to perform disease entity normalization. Uses a GRU autoencoder to represent the ""context"" (related enitities of a given disease within the span of a sentence), solving the BioNLP task with significant improvements over the best-known methods.","A biomedical knowledge base with a combination of two sub-models which leverage both topical coherence and semantic features to perform disease normalization. This work presents a novel method for addressing the problem of disease normization by combining two datasets of distantly supervised data, extracted through two corpora of scattered datasets created for non-normalization purposes."
"We present a single shot analysis of a trained neural network to remove redundancy and identify optimal network structure This paper proposes a set of heuristics for identifying a good neural network architecture, based on PCA of unit activations over the dataset This work presents a framework for optimising neural networks architectures through the identification of redundant filters across layers","A new neural network with a number of principal filters and retrain from scratch. This work explores the problem of pruning out a particular filter to reduce the dimensionality of the space that the data resides in after passing through a layer, and shows that the number of significant filters is an intrinsic property of a specific network structure."
"The first deep learning approach to MFSR to solve registration, fusion, up-sampling in an end-to-end manner. This work proposes an end-to-end multi-frame super-resolution algorithm, that relies on a pair-wise co-registrations and fusing blocks (convolutional residual blocks), embedded in a encoder-decoder network 'HighRes-net' that estimates the super-resolution image. This work proposes a framework including recursive fusion to co-registration loss to solve the problem of super-resolution results and high-resolution labels not being pixel aligned.","This paper introduces a deep-learning approach that solves the co-registration, fusion and registration-at-theloss problems in an end-to-end learning framework. The authors address the problem of single image super-resolution (SISR) with a new loss mechanism that can be used to learn high-frequency representations during training."
We introduce a technique that allows for gradient based training of quantized neural networks. Proposes a unified and general way of training neural networks with reduced precision quantized synaptic weights and activations. A new approach to quantizing activations which is state of the art or competitive on several real image problems. A method for learning neural networks with quantized weights and activations by stochastically quantizing values and replacing the resulting categotical distribution with a continuous relaxation,A method for quantizing neural networks with a stochastic rounding that can be seen as a special case of the proposed approach. This study presents a method to quantize neural networks by reducing the precision of the arithmetic operations in the network. The paper introduces a novel quantization method for determining the distribution of the input signal and then sampling grid points from it.
"Interpretation by Identifying model-learned features that serve as indicators for the task of interest. Explain model decisions by highlighting the response of these features in test data. Evaluate explanations objectively with a controlled dataset. This study proposes a method for producing visual explanations for deep neural network outputs and releases a new synthetic dataset. A method for Deep Neural Networks that identifies automatically relevant features of the set of the classes, supporting interpretation and explanation without relying on additional annotations.","A method to automatically identifie the network-encoded features that are important for the prediction of a given class. This work introduces a method for identifying the class of interest in an image, a set of identified relevant filters, and a class prediction using heatmap visualizations of the top-responding relevant filters for the predicted class."
"A method that build representations of sequential data and its dynamics through generative models with an active process Combines neural networks and Gaussian distributions to create an architecture and generative model for images and video which minimizes the error between generated and supplied images. The article proposes a Bayesian network model, realized as a neural network, that learns different data in the form of a linear dynamical system","A new model for generative adversarial networks that is capable of adapting to changing scenarios. This work introduces a hierarchical architecture where the activations of layers at the same level of a coder and a generator are laterally used to send information about the last prediction during inference, and about the inference for the generation of data."
"Obtains state-of-the-art accuracy for quantized, shallow nets by leveraging distillation. Proposes small and low-cost models by combining distillation and quantization for vision and neural machine translation experiments This paper presents a framework of using the teacher model to help the compression for the deep learning model in the context of model compression.","A method for incorporating distillation loss, expressed with respect to the teacher, into the training of a student network. This study introduces a method for quantizing and leveraged distillation in the training process by incorporating it into the learning process. The authors present two methods for combining full-precision and deep neural networks with compression in terms of depth, and show that quantized shallow students can reach similar accuracy levels to full-presence and deeper teacher models."
"We use question-answering to evaluate how much knowledge about the environment can agents learn by self-supervised prediction. Proposes QA as a tool to investigate what agents learn about in the world, arguing this as an intuitive method for humans which allows for arbitrary complexity. The authors propose a framework to assess representations built by predictive models that contain sufficient information to answer questions about the environment they are trained on, showing those by SimCore contained sufficient information for the LSTM to answer questions accurately.","QA performance is indicative of the agent's ability to capture global environment structure and semantics solely through egocentric prediction. This work introduces a novel decoder network that learns to encode relevant aspects of the environment in a representation amenable to easy decoding into symbols. The authors use question-answering as a general purpose answer for higher-order conceptual knowledge, which can be used to solve complex questions about the environment."
"We train with state aligned vector rewards an agent predicting state changes from action distributions, using a new reinforcement learning technique inspired by quantile regression. Presents algorithm that aims to speed up reinforcement learning in situations where the reward is aligned with the state space. This work addresses RL in the continuous action space, using a re-parametrised policy and a novel vector-based training objective. This work proposes to mix distributional RL with a net in charge of modeling the evolution of the world in terms of quantiles, claiming improvements in sample efficiency.",A deep reinforcement learning algorithm to train stochastic continuous action policies with arbitrary action probability distributions. This work introduces a new reinforcement learning architecture that learns the quantile function of the action dimensions and state space in order to maximize the expected (discounted) reward. The authors extend the reinforcement learning paradigm to allow for faster training based on more informative state aligned vector rewards.
"Learn representations for images that factor out a single attribute. This study builds on Conditional VAE GANs to allow attribute manipulation in the synthesis process. This study proposes a generative model to learn the representation which can separate the identity of an object from an attribute, and extends the autoencoder adversarial by adding an auxiliary network.","This paper introduces a VAE-GAN for image synthesis that is more competitive with state of the art. The authors introduce a new convolutional GAN, DCGAN, architecture to improve classification results. This work introduces an IFcVAE-gAN which can be trained in a latent space representation that separates an object category from its attributes and performs better than fine-grain image manipulation."
We take face recognition as a breaking point and propose model distillation with knowledge transfer from face classification to alignment and verification This article proposes to transfer the classifier from the model for face classification to the task of alignment and verification. The manuscript presents experiments on distilling knowledge from a face classification model to student models for face alignment and verification.,"A method to distill the knowledge from the teacher network by learning its soft-prediction. This work introduces a new distillation method for face classification, which uses a distillation trick to improve the distillation performance of classifying tasks. The authors present a method for distillation of the knowledge in face alignment and verification by transferring it from the classifier to the instructor network. Presents an initialization method for class classification tasks with the same data and identity labels."
"New state-of-the-art framework for image restoration The article proposes a convolutional neural network architecture that includes blocks for local and non-local attention mechanisms, which are claimed to be responsible for achieving excellent results in four image restoration applications. This article proposes a residual non-local attention network for image restoration","Using residual non-local attention learning to train very deep networks by preserving more low-level features, being more suitable for image restoration. This work presents a novel method for capturing information from hierarchical features in the context of images that can be used to improve image super-resolution. The authors present a new approach to extract information from the mask branches of the mask branch and show that it's possible to obtain more sophisticated attention map in mask branches."
"We present an influence-directed approach to constructing explanations for the behavior of deep convolutional networks, and show how it can be used to answer a broad set of questions that could not be addressed by prior work. A way to measure influence that satisfies certain axioms, and a notion of influence that can be used to identify what input part is most influential for the output of a neuron in a deep neural network. This paper proposes to measure the influence of single neurons with regard to a quantity of interest represented by another neuron.","A method to interpret predictions for convolutional neural networks by focusing on the essence of a class, and identifying influential neurons over the entire population. This work introduces a method for interpreting predictions for an image that is more relevant to the outcomes of the neurons in the input model. The authors present a new way of understanding the effect of influence on a slice of the network with two natural invariance properties."
"In visual prediction tasks, letting your predictive model choose which times to predict does two things: (i) improves prediction quality, and (ii) leads to semantically coherent ""bottleneck state"" predictions, which are useful for planning. A method on prediction of frames in a video, the approach including that target prediction is floating, resolved by a minimum on the error of prediction. Reformulates the task of video prediction/interpolation so that a predictor is not forced to generate frames at fixed time intervals, but instead is trained to generate frames that happen at any point in the future.","A novel technical approach to solve video prediction problem. This work introduces a method for reframeing the prediction problem to be time-agnostic, and shows that bottleneck states correspond to subgoals that aid in planning towards complex end goals. The authors consider the use of bottleneck predictions as subgoals for a hierarchical planner, which is loosely related to options."
We perform functional variational inference on the stochastic processes defined by Bayesian neural networks. Fitting of variational Bayesian Neural Network approximations in functional form and considering matching to a stochastic process prior implicitly via samples. Presents a novel ELBO objective for training BNNs which allows for more meaningful priors to be encoded in the model rather than the less informative weight priors features in the literature. Presents a new variational inference algorithm for Bayesian neural network models where the prior is specified functionally rather than via a prior over weights.,"This work introduces a variational inference method that approximates the functional ELBO using finite measurement sets and the spectral Stein gradient estimator. The authors present a method for estimating posterior dependencies of a shallow BNN, showing that an implicit distribution is a Gaussian process (GP). This study presents a technique to estimate the posterior function of an implicit distributed by combining finite measurements and the Stein gradient estimation method."
"Learning deep latent variable MRFs with a saddle-point objective derived from the Bethe partition function approximation. A method for learning deep latent-variable MRF with an optimization objective that utilizes Bethe free energy, that also solves the underlying constraints of Bethe free energy optimizations. An objective for learning latent variable MRFs based on Bethe free energy and amortized inference, different from optimizing the standard ELBO.","A method for learning undirected graphical models with discrete latent variables that can be optimized efficiently without sampling. This work introduces an approach to learning neural text HMMs using the Bethe free energy approximation, which makes use of a saddlepoint objective to improve the expressiveness of MRFs with arbitrary pairwise factors in terms of held out log likelihood."
"In this work, we point to a new connection between DNNs expressivity and Sharkovsky’s Theorem from dynamical systems, that enables us to characterize the depth-width trade-offs of ReLU networks Shows how the expressive power of NN depends on its depth and width, furthering the understanding of the benefit of deep nets for representing certain function classes. The authors derive depth-width tradeoff conditions for when relu networks are able to represent periodic functions using dynamical systems analysis.","A method to predict periodic functions as a function of the depth. This work presents a method for predicting periodic functions that can be represented by DNNs, i.e., by some particular choice of weights on their edges (and for a wide variety of standard activation units in their layers). The authors show that the composition of t(x; 2) with itself k times will create exponentially many oscillations."
"We propose a method that infers the time-varying data quality level for spatiotemporal forecasting without explicitly assigned labels. Introduces a new definition of data quality that relies on the notion of local variation defined in (Zhou and Scholkopf) and extends it to multiple heterogenous data sources. This article proposed a new way to evaluate the quality of different data sources with the time-vary graph model, with the quality level used as a regularization term in the objective function","A graph convolutional neural network architecture that can be used to extract localized patterns from regular grids, such as images BID14. This work introduces a graph connectivity architecture for generating localized signals at vertex i with the help of data quality. The study presents a computational framework for estimating the local variation of a vertex signal at the vertex's vertex in a way that is less fluctuated by the number of neighbors."
"We show that training a deep network using batch normalization is equivalent to approximate inference in Bayesian models, and we demonstrate how this finding allows us to make useful estimates of the model uncertainty in conventional networks. This study proposes using batch normalisation at test time to get the predictive uncertainty, and shows Monte Carlo prediction at test time using batch norm is better than dropout. Proposes that the regularization procedure called batch normalization can be understood as performing approximate Bayesian inference, which performs similarly to MC dropout in terms of the estimates of uncertainty that it produces.",A deep-net-based model-wise operation to normalize the distribution of each unit's input into a batch normalized network. This work introduces a new method for estimating uncertainty in deep neural networks by using a Bayesian approach. The authors present a deep learning method that can be used as a mini-batch optimization method and provide a better understanding of the problem of quantifiable variables in a wide range of tasks.
"Understanding the neural network Hessian eigenvalues under the data generating distribution. This paper analyzes the spectrum of the Hessian matrix of large neural networks, with an analysis of max/min eigenvalues and visualization of spectra using a Lanczos quadrature approach. This paper uses the random matrix theory to study the spectrum distribution of the empirical Hessian and true Hessian for deep learning, and proposes an efficient spectrum visualization methods.","A method to analyse spectral perturbations between the Empirical Hessian and False Shepard. This study uses random matrix theory to derive an analysis of the eigenspectrum differences between the True Hesid and Fal-Emergency Hepard, which can be used to determine the perturbation between the two models."
"We introduce the Recurrent Discounted Unit which applies attention to any length sequence in linear time This study proposes the Recurrent Discounted Attention (RDA), an extension to Recurrent Weighted Average (RWA) by adding a discount factor. Extends the recurrent weight average to overcome the limitation of the original method while maintaining its advantage and proposes the method of using Elman nets as the base RNN","This article introduces a Recurrent Discounted Attention Unit, which extends the RWA by allowing it to discount the attention applied to previous timesteps. This work introduces an attention matrix for each encoded state and translated word combination in order to learn where in the sequence to attend to."
"How you should evaluate adversarial attacks on seq2seq The authors investigate ways of generating adversarial examples, showing that adversarial training with the attack most consistent with the introduced meaning-preservation criteria results in improved robustness to this type of attack without degradation in the non-adversarial setting. The study is about meaning-preserving adversarial perturbations in the context of Seq2Seq models","A new constraint for adversarial attacks on word-based MT systems, and a method of imbuing gradient-based word substitution attacks with simple constraints aimed at increasing the chance that the meaning is preserved. This work presents a novel defense technique for constrained words substitution attacks that replace one word in a sentence to maximize an adversarially loss function L adv, similar to the substitution attacks proposed in BID1."
Imposing graph structure on neural network layers for improved visual interpretability. A novel regularizer to impose graph structure upon hidden layers of a Neural Network to improve the interpretability of hidden representations. Highlights the contribution of graph spectral regularizer to the interpretability of neural networks.,"A new approach for generating human interpretable patterns in the latent representation obtained by hidden layers of neural networks. This work introduces a new set of regularizations that are defined in the spectral domain, rather than in the neuron domain, in order to directly enforce specral properties of the activation signal."
A framework for learning high-quality sentence representations efficiently. Proposes a faster algorithm for learning SkipThought-style sentence representations from corpora of ordered sentences that swaps the word-level decoder for a contrastive classification loss. This study proposes a framework for unsupervised learning of sentence representations by maximizing a model of the probability of true context sentences relative to random candidate sentences,"An autoencoder model that learns to reconstruct the surface form of a sentence, which forces the model to not only predict its semantics, but aspects that are irrelevant to the meaning of the sentence as well. This work introduces a novel de-noising autoencoding approach for identifying the correct context sentence instead of neighboring sentences. The authors present a framework for encoding sentence representations that learn sentence concatenation functions."
Provides an unbiased version of truncated backpropagation by sampling truncation lengths and reweighting accordingly. Proposes stochastic determination methods for truncation points in backpropagation through time. A new approximation to backpropagation through time to overcome the computational and memory loads that arise when having to learn from long sequences.,"ARTBP is experimentally compared to truncated BPTT. This study introduces a novel gradient estimation method that can be used for training sequences with short-term effects, but requires a reflection on the long-term effect. The authors present a method for recurrent learning algorithms, and show that it is possible to perform a linear gradient estimate using a parametric dynamical system instead of a priori."
"Exploration using Distributional RL and truncagted variance. Presents an RL method to manage exploration-explotation trade-offs via UCB techniques. A method to use the distribution learned by Quantile Regression DQN for exploration, in place of the usual epsilon-greedy strategy. Proposes new algorithsms (QUCB and QUCB+) to handle the exploration tradeoff in Multi-Armed Bendits and more generally in Reinforcement Learning",A quantitative estimation of the arm's UCB is performed via Hoeffdings Inequality 1 which is entirely based on counting the number of times the arm was pulled. This article presents a method to estimate quantiles for multi-armed bandits and RL by comparing them to asymmetric distributions. The authors present a quantitative estimation algorithm that estimates quantile numbers for each arm using the highest mean plus standard deviation.
"Building a TTS model with Gaussian Mixture VAEs enables fine-grained control of speaking style, noise condition, and more. Describes the conditioned GAN model to generate speaker conditioned Mel spectra by augmenting the z-space corresponding to the identification This article proposes a two layer latent variable model to obtain disentangled latent representation, thus facilitating fine-grained control over various attributes This study proposes a model that can control non-annotated attributes such as speaking style, accent, background noise, etc.",A new model for synthesis of clean speech using conditional auto-encoders. This work introduces a new language-token approach to synthesizing clean audio by using a room simulator to add background noise and reverberation to the synthesized speech. The authors study the problem of synthesising clean audio from a multi-speaker English corpus
"In this paper, we propose KL-CPD, a novel kernel learning framework for time series CPD that optimizes a lower bound of test power via an auxiliary generative model as a surrogate to the abnormal distribution. Describes a novel approach to optimising the choice of kernel towards increased testing power and shown to offer improvements over alternatives.","A deep kernel parametrization framework which endows a data-driven kernel for the kernel two-sample test. This work presents a deep neural learning framework that optimizes kernel selection with very limited samples from the abnormal distribution Q. The authors introduce a method for optimizing kernel selection using surrogate distribution G to improve test power when samples from Q are insufficient, and show that optimization of kernels with only limited samples of Q can reduce performance degradation."
"A bottom-up algorithm that expands CNNs starting with one feature per layer to architectures with sufficient representational capacity. Proposes to dynamically adjust the feature map depth of a fully convolutional neural network, formulating a measure of self-resemblance and boosting performance. Introduces a simple correlation-based metric to measure whether filters in neural networks are being used effectively, as a proxy for effective capacity. Aims to address the deep learning architecture search problem via incremental addition and removal of channels in intermediate layers of the network.","A method to improve representational complexity of deep neural networks by adding features to existing architectures. This work presents a method for optimizing deep neural network models, which can be used to train large architectures with less than perchance expected computational overhead. The authors present a way to reduce the cost of training deep neural systems by adding additional features on top of a DNN optimization procedure, and show that it is possible to learn more complex sub-sampling functions."
"A noval GAN framework that utilizes transformation-invariant features to learn rich representations and strong generators. Proposes a modified GAN objective consisting of a classic GAN term and an invariant encoding term. This study presents the IVE-GAN, a model that introduces en encoder to the Generative Adversarial Network framework.","A novel GAN framework that tries to capture the distribution of a given dataset to map from an arbitrary latent space to new synthetic data points, and a discriminative model that attempts to distinguish between samples from the generator and the true data. This work introduces a new GAN architecture that extends the classical GAN structure by an additional encoding unit E to map samples from each individual sample x to the original source."
