target,BART Greedy,BART Sampling,T5 Greedy,T5 Sampling
"CharNMT is brittle This paper investigates the impact of character-level noise on 4 different neural machine translation systems This study empirically investigates the performance of character-level NMT systems in the face of character-level noise, both synthesized and natural. This study investigates the impact of noisy input on Machine Translation and tests ways to make NMT models more robust","A novel character-based CNN model that learns to address synthetic noise by training on noisy texts. This study investigates the problem of synthetic noise generation in NLP and shows that it is more robust to natural human errors than the meanChar model. The authors investigate the issue of natural human noise generation, and show that a character based CNN can learn to address multiple types of noise in a sentence.","A novel character-based CNN model that learns to address multiple types of natural noise in a given sentence. This paper presents a novel method for learning to deal with natural noise, and proposes a novel way of doing so. The authors propose a new neural network which learns to handle natural noise by training it on a variety of different kinds of noise.","A charCNN model that is more robust to different kinds of noise, by training on noisy texts. This work introduces a charcNN-based approach to solving the problem of typos and noise in a text-based way. The authors present a new method for learning a word-to-word translation using a combination of a single key and a two-step process to solve the problems of language-specific errors.","A charCNN model that is more robust to different kinds of noise, by training on noisy texts. This study studies the robustness of text translations in a Wrot-like language, and shows that it can be used to address typos and noise. The authors introduce a charcNN model which uses a keyboard type to detect errors in the first and last letters, and show that it performs well on Key in French, but not elsewhere."
"Feedforward neural networks that can have weights pruned after training could have had the same weights pruned before training Shows that there exists sparse subnetworks that can be trained from scratch with good generalization performance and proposes a unpruned, randomly initialized NNs contain subnetworks that can be trained from scratch with similar generalization accuracy. The study examines the hypothesis that randomly initialized neural networks contain sub-networks that converge equally fast or faster and can reach the same or better classification accuracy","An iterative pruning strategy for improving the accuracy and validation accuracy of a fully-connected neural network with a small number of parameters. This study studies the problem of pruning neural networks using stochastic gradient descent, and shows that it is more difficult to find winning tickets than prior pruning strategies. This article presents a method for finding winning tickets for neural networks with a large number of parameter sets.","An iterative pruning strategy for improving the accuracy and validation accuracy of a fully-connected hyperparameter. This article proposes an iterative method for optimizing hyperparameters with low validation accuracy and faster early-stopping times to smaller network sizes. This study studies the problem of iterative random pruning in hyperparametrics, and shows that it is possible to improve the accuracy of these architectures by reducing the number of training iterations necessary to get to smaller networks.","A method for iterative pruning of a fully-connected network. This article considers the problem of training a pruned model with a small capacity. The authors present a method for learning pruned models from scratch, and use it as a proxy for the speed at which a network learns. The paper presents a strategy to improve validation accuracy in an early-stopping manner.","A method to train a pruned network with a small capacity. The authors use iterative pruning as a proxy for the speed at which a network learns, but not after re-initializing the pruned layers and retraining them. This article considers the problem of training a fully connected network on a pruning task like MNIST."
"A new regularization term can improve your training of wasserstein gans The work proposes a regularization scheme for Wasserstein GAN based on relaxation of the constraints on the Lipschitz constant of 1. The work deals with regularization/penalization in the fitting of GANs, when based on a L_1 Wasserstein metric.","A novel GAN-GP that penalizes the deviation of the gradient norm of the critic function (as a function of the network's input) from one, was proposed as an alternative that improves training. This work introduces a new GAN algorithm for generating real-looking data points by using alternating gradient descent updates. The authors introduce a new algorithm called WGAN-GP which penalizes deviations of the gradients of the discriminator function with respect to its input.","Improving GAN training with a regularization term that penalizes the deviation of the gradient norm of the critic (as a function of the network's input) from one, was proposed as an alternative that improves training. This paper proposes to improve GAN-GP by reducing the Wasserstein-1 distance between the generator and the discriminator networks.","A GAN-based regularization term that penalizes the deviation of the norm of the critic function (as a function of the network's input) from one. This work presents a method to improve GAN training by reducing the infimum and minimizing the Wasserstein-1 distance, which can be achieved by alternating gradient descent updates for the generator and the 1-Lipschitz function f.","A new training method for generating GANs by increasing the loss by regularization term that penalizes the deviation of the norm of the critic function (as a function of the network's input) from one. This work presents a new training technique to improve GAN training, with the aim of reducing the infimum by minimizing the Wasserstein-1 distance on Earth-Mover distance."
"DeFINE uses a deep, hierarchical, sparse network with new skip connections to learn better word embeddings efficiently. This article describes a new method for learning deep word-level representations efficiently by using a hierarchical structure with skip-connections for the use of low dimensional input and output layers.","A hierarchical group embedding method for deep neural networks. This work introduces a hierarchical group-based embedding framework that enables deep neural network representations to be learned jointly while reducing the number of parameters. The authors introduce a new embedding matrix, called DeFINE, to improve the performance of deep neural models by reducing the computational overhead.","Improving the performance of deep neural networks by incorporating a new connectivity pattern that establishes a direct link between the input and output layers. This work proposes a hierarchical group transformation method for deep neural network embeddings, where the input layer is connected to the output layer via a hierarchical connection. The authors propose a novel embedding method for learning deep neural representations from different subsets of the input vector.","This article introduces a new adaptive embedding method for learning input and output representations jointly while significantly reducing the number of parameters presented by these layers. The authors introduce a weight-tying mechanism that allows for faster, memory-efficient end-to-end training while providing similar or better benefits compared to existing post-training methods which require a hierarchical group transformation (HGT) to learn deep representations efficiently using sparse and dense connections.","This work introduces a new layer-to-layer approach for learning input and output representations jointly while significantly reducing the number of network parameters. The authors address the problem of learning representations from different subsets of the first layer using sparse and dense connections, allowing HGT to learn deep representations efficiently by learning a hierarchical link between the input layers and the output layers."
"We prove fluctuation-dissipation relations for SGD, which can be used to (i) adaptively set learning rates and (ii) probe loss surfaces. Paper's concepts work in the discrete-time formalism, use the master equation, and remove reliance on a locally quadratic approximation of the loss function or on any Gaussian asumptions of the SGD noise. The authors derive the stationary fluctuation-dissipation relations that link measurable quantities and hyperparameters in SGD and use the relations to set training schedule adaptively and analyze the loss-function landscape.",This study studies the fluctuation-dissipation relations of a stationary-state distribution in SGD and shows that they can be used to determine the shape of the loss-function landscape. This work studies the effect of noise on the learning rate of a stochastic gradient on the training rate of an SGD model. The authors investigate the existence of a non-Gaussian distribution in the loss function landscape of a Gaussian model,"This paper studies the fluctuation-dissipation relations of noise in mini-batched data and proposes a method for measuring the noise distribution at each time step during training. This article analyzes the behavior of the noise distributions in real-world models by studying the dynamics of the loss-function landscape. The authors propose a new way of measuring the stochastic momentum of a model that is not dependent on the stationary distribution, and show that it is more stable than the stationary one.","An analogous fluctuation-dissipation relation that quantitatively link the noise in mini-batched data to the observable evolution of the model performance. This work introduces a new lossfunction landscape with a two-point noise matrix, which can be used to test stationarity and delineate the shape of the landscape.","This work introduces an analogy of fluctuation-dissipation relations that quantitatively link the noise in mini-batched data to the evolution of the model performance and facilitates the learning process. The authors present a method for determining the properties of the lossfunction landscape, including the strength of its Hessian counterpart and the degree of anharmonicity."
"We show that NN parameter and hyperparameter cost landscapes can be generated as quantum states using a single quantum circuit and that these can be used for training and meta-training. Describes a method where a deep learning framework can be quantised by considering the two state form of a Bloch sphere/qubit and creating a quantum binary neural network. This work proposes quantum amplitude amplification, a new algorithm for training and model selection in binary neural networks. Proposes a novel idea of outputting a quantum state that represents a complete cost landscape of all parameters for a given binary neural network, by constructing a quantum binary neural network (QBNN).","Quantum neural network architecture based on a quantum gate-based form of quantum computation as opposed to the classical annealing devices of the past. This work presents a novel method for learning the state of a neural network using binary activation functions, which can be used to train neural networks in parallel. The authors present a new approach to learning a representation of the landscape of a deep neural network by using a binary activation function.","Quantum neural network architecture based on a quantum gate-based form of computation. This paper proposes a novel approach to learn the state of a neural network by using a binary activation function, which can be used to train a deep neural network in parallel. The authors propose a new type of machine learning architecture that is more general than classical neural networks and uses binary activation functions.","This paper introduces a new method for binary classification using a gate-based quantum computation. The article presents a novel way to train binary qubits in the form of qRAM, which is based on a different, more general form of quantum computation as opposed to the latter.","A quantum annealing device that takes in a given set of weights and an empty register, and outputs the resultant accuracy according to the chosen neural network. This work introduces a new gate-based quantum computation method for binary qubits, which is used to perform binary classification, and shows that it can be used to train binary quebits by using a reversibility gate."
"Transfer learning for estimating causal effects using neural networks. Develops algorithms to estimate conditional average treatment effect by auxiliary dataset in different environments, both with and without base learner. The authors propose methods to address a novel task of transfer learning for estimating the CATE function, and evaluate them using a synthetic setting and a real-world experimental dataset. Using neural network regression and comparing transfer learning frameworks to estimate a conditional average treatment effect under string ignorability assumptions","A meta-learning method for transfer learning that can speed up the transfer process. This paper presents a method for transferring data from one dataset to another in order to obtain a more accurate estimate of the true CATE for each sample. The study presents a meta learning method to transfer data from a dataset to a new dataset, which is then used to generate a CATE estimator.","Transfer learning for voter persuasion based on real data This paper proposes a meta-learning method to evaluate transfer learning in the context of voter persuasion. The authors propose a new method for transfer learning that is more efficient and faster than current methods. The article proposes a method for transferring information from a sample of MNIST digits to a different sample of samples, which can be used to generate a CATE estimator.","A method for assessing transfer learning for CATE estimation on real data. This article presents a method to evaluate transfer learning in observational studies, where the number of covariates is large. The authors introduce a new network layer that can be used to train DGPs with memory to solve forgetting during transfer by using lateral connections to existing frozen layers. This study explores the problem of learning CATEs from a set of large field experiments.","A method for evaluating CATE estimation on real data that can be used in observational studies. This work presents a method for learning CATEs from the perspective of transfer learning by combining them with non-parametric methods. The authors introduce a new algorithm to learn features from the label presented in the image X, and show that it is possible to train CATE models using a set of different input functions."
"We show that catastrophic forgetting occurs within what is considered to be a single task and find that examples that are not prone to forgetting can be removed from the training set without loss of generalization. Studies the forgetting behavior of training examples during SGD, and shows there exist ""support examples"" in neural network training across different network architectures. This study analyzes the extent to which networks learn to correctly classify specific examples and then forget these examples over the course of training. The study studies whether some examples in training neural networks are harder to learn than others. Such examples are forgotten and relearned multiple times through learning.","Unforgettable examples can be learned during training, while others are forgotten during training. This study investigates the phenomenon of forgetting events in deep neural networks and investigates the correlation between forgetting statistics and the intrinsic dimension of the learning problem. The authors investigate the relationship between forgetting events and generalization performance of deep neural architectures, and show that forgetting events can be used to identify ""important"" samples.","Unforgettable examples can be learned during training, while unforgettable examples are not. This study investigates the forgetting process in deep neural networks and proposes a new metric for forgetting examples that can be used to identify ""important"" samples and detect outliers and examples with noisy labels. The authors propose a new approach to learning unforgettable examples by using forgetting statistics to identify which examples are forgotten during training.","A method for identifying important, or most informative examples that are never forgotten once learnt. This work investigates the problem of forgetting dynamics in neural networks by studying the extent to which a neural network learns unforgettable examples. The authors present a method for learning memorable examples that can be used to identify ""important"" samples and detect outliers and examples with noisy labels.","An implicit regularization method for learning unforgettable examples, based on forgetting dynamics, to identify important or most informative examples. This study investigates the problem of learning outliers with noisy labels in a neural network and shows that it is possible to find out how many memorable examples are forgotten once learnt. The authors address the issue of learning unimportant examples as a result of a linearly separable learning process."
"A class of networks that generate simple models on the fly (called explanations) that act as a regularizer and enable consistent model diagnostics and interpretability. The authors claim that the previous art directly integrate neural networks into the graphical models as components, which renders the models uninterpretable. Proposal for a combination of neural nets and graphical models by using a deep neural net to predict the parameters of a graphical model.",CENs are competitive with the state-of-the-art for image and text classification and survival analysis tasks. This work introduces a new class of probabilistic models that can be used to generate explanations for complex data. The study presents a new framework for understanding the explanations generated by a deep neural network in order to improve interpretability.,"CENs are a probabilistic framework for image and text classification and survival analysis tasks. This paper proposes a new class of deep neural networks based on context-specific explanations, which can be used to improve interpretability. The authors propose a method for generating explanations that is more suitable for the task of survival analysis than prior methods.","A novel algorithm for image and text classification and survival analysis. This work introduces a novel algorithm to interpret explanations by using a domain-specific deep architecture. The authors present a method for learning the decision boundary of a prediction model, which can be used in a social context, and show that post-hoc approximations of CEN's decision boundary are consistent with the generated explanations.","Using a domain-specific deep architecture for image and text classification and survival analysis, our results demonstrate that CENs are competitive with the state-of-the-art while offering additional insights behind each prediction, valuable for decision support. This work introduces a class of probabilistic models to be used in a social context, demonstrating that post-hoc approximations of CEN's decision boundary are consistent with the generated explanations."
"We proposed ""Difference-Seeking Generative Adversarial Network"" (DSGAN) model to learn the target distribution which is hard to collect training data. This study presents DS-GAN, which aims to learn the difference between any two distributions whose samples are difficult or impossible to collect, and shows its effectiveness on semi-supervised learning and adversarial training tasks. This paper considers the problem of learning a GAN to capture a target distribution with only very few training samples from that distribution available.","Generative approaches are developed for learning data distribution from its samples and thereafter produce novel and high-dimensional samples from learned distributions, such as image and speech synthesis BID18 ). This work introduces a new GAN, DSGAN, which learns a mixture distribution from the data generated by the generator and discriminator. The work presents a new method for generating samples from the generated data that is suitable for semi-supervised learning.","Generative approaches are developed for learning data distribution from its samples and thereafter produce novel and high-dimensional samples from learned distributions, such as image and speech synthesis BID18 ). This paper proposes a method to train GANs that learns the generator distribution p g under mild conditions. The authors propose a new method for training GAN based on the mixture distribution of the generator and the discriminator in a semi-supervised manner.","A GAN prone generator to output samples located in high-density areas of pd, and adversarial training requires a bad GAN for semi-supervised learning. This work introduces a GAN that learns the mixture distribution of the generator and the generator distribution by minimizing the statistical distance between the two support sets. The paper presents a method for training GANs with the ability to learn different target distributions","A Generative Approach for learning data distribution from its samples and thereafter produce novel and high-dimensional samples from its learned distributions, such as image and speech synthesis. This work introduces a GAN method to learn the generator distribution from mixed distributions and shows that it is more stable to train DSGAN in a semi-supervised environment."
"We present NormCo, a deep coherence model which considers the semantics of an entity mention, as well as the topical coherence of the mentions within a single document to perform disease entity normalization. Uses a GRU autoencoder to represent the ""context"" (related enitities of a given disease within the span of a sentence), solving the BioNLP task with significant improvements over the best-known methods.","Improving disease normalization with a combination of semantic features and topical coherence. This work presents a novel method for improving the accuracy and predictive quality of biomedicine by combining two different approaches. The authors present a new approach to disease normalizing that combines semantic features with coherence, which improves the accuracy of the previous methods.","Improving disease normalization with two sub-models. The authors propose a novel method for improving the accuracy and coherence of biomedicine by combining two different approaches. This paper proposes a new approach to disease normalizing based on a combination of semantic features, coherence, and contextual coherence. This article presents a novel approach to problem of diseases normalization that leverages both semantic features and context information in order to improve the accuracy of the existing methods.","A combination of two sub-models which leverage both topical coherence and semantic features to perform disease normalization. This work focuses on the problem of disease normalisation, an essential step in the construction of a biomedical knowledge base as diseases are central to biomedicine.","A biomedical knowledge base with a combination of two sub-models which leverage both topical coherence and semantic features to perform disease normalization. This work presents a novel method for addressing the problem of disease normization by combining two datasets of distantly supervised data, extracted through two corpora of scattered datasets created for non-normalization purposes."
