target,abstractive_summary
"CharNMT is brittle This paper investigates the impact of character-level noise on 4 different neural machine translation systems This study empirically investigates the performance of character-level NMT systems in the face of character-level noise, both synthesized and natural. This study investigates the impact of noisy input on Machine Translation and tests ways to make NMT models more robust","A novel character-based CNN model that learns to address synthetic noise by training on noisy texts. This study investigates the problem of synthetic noise generation in NLP and shows that it is more robust to natural human errors than the meanChar model. The authors investigate the issue of natural human noise generation, and show that a character based CNN can learn to address multiple types of noise in a sentence."
"Feedforward neural networks that can have weights pruned after training could have had the same weights pruned before training Shows that there exists sparse subnetworks that can be trained from scratch with good generalization performance and proposes a unpruned, randomly initialized NNs contain subnetworks that can be trained from scratch with similar generalization accuracy. The study examines the hypothesis that randomly initialized neural networks contain sub-networks that converge equally fast or faster and can reach the same or better classification accuracy","An iterative pruning strategy for improving the accuracy and validation accuracy of a fully-connected neural network with a small number of parameters. This study studies the problem of pruning neural networks using stochastic gradient descent, and shows that it is more difficult to find winning tickets than prior pruning strategies. This article presents a method for finding winning tickets for neural networks with a large number of parameter sets."
"A new regularization term can improve your training of wasserstein gans The work proposes a regularization scheme for Wasserstein GAN based on relaxation of the constraints on the Lipschitz constant of 1. The work deals with regularization/penalization in the fitting of GANs, when based on a L_1 Wasserstein metric.","A novel GAN-GP that penalizes the deviation of the gradient norm of the critic function (as a function of the network's input) from one, was proposed as an alternative that improves training. This work introduces a new GAN algorithm for generating real-looking data points by using alternating gradient descent updates. The authors introduce a new algorithm called WGAN-GP which penalizes deviations of the gradients of the discriminator function with respect to its input."
"DeFINE uses a deep, hierarchical, sparse network with new skip connections to learn better word embeddings efficiently. This article describes a new method for learning deep word-level representations efficiently by using a hierarchical structure with skip-connections for the use of low dimensional input and output layers.","A hierarchical group embedding method for deep neural networks. This work introduces a hierarchical group-based embedding framework that enables deep neural network representations to be learned jointly while reducing the number of parameters. The authors introduce a new embedding matrix, called DeFINE, to improve the performance of deep neural models by reducing the computational overhead."
"We prove fluctuation-dissipation relations for SGD, which can be used to (i) adaptively set learning rates and (ii) probe loss surfaces. Paper's concepts work in the discrete-time formalism, use the master equation, and remove reliance on a locally quadratic approximation of the loss function or on any Gaussian asumptions of the SGD noise. The authors derive the stationary fluctuation-dissipation relations that link measurable quantities and hyperparameters in SGD and use the relations to set training schedule adaptively and analyze the loss-function landscape.",This study studies the fluctuation-dissipation relations of a stationary-state distribution in SGD and shows that they can be used to determine the shape of the loss-function landscape. This work studies the effect of noise on the learning rate of a stochastic gradient on the training rate of an SGD model. The authors investigate the existence of a non-Gaussian distribution in the loss function landscape of a Gaussian model
"We show that NN parameter and hyperparameter cost landscapes can be generated as quantum states using a single quantum circuit and that these can be used for training and meta-training. Describes a method where a deep learning framework can be quantised by considering the two state form of a Bloch sphere/qubit and creating a quantum binary neural network. This work proposes quantum amplitude amplification, a new algorithm for training and model selection in binary neural networks. Proposes a novel idea of outputting a quantum state that represents a complete cost landscape of all parameters for a given binary neural network, by constructing a quantum binary neural network (QBNN).","Quantum neural network architecture based on a quantum gate-based form of quantum computation as opposed to the classical annealing devices of the past. This work presents a novel method for learning the state of a neural network using binary activation functions, which can be used to train neural networks in parallel. The authors present a new approach to learning a representation of the landscape of a deep neural network by using a binary activation function."
"Transfer learning for estimating causal effects using neural networks. Develops algorithms to estimate conditional average treatment effect by auxiliary dataset in different environments, both with and without base learner. The authors propose methods to address a novel task of transfer learning for estimating the CATE function, and evaluate them using a synthetic setting and a real-world experimental dataset. Using neural network regression and comparing transfer learning frameworks to estimate a conditional average treatment effect under string ignorability assumptions","A meta-learning method for transfer learning that can speed up the transfer process. This paper presents a method for transferring data from one dataset to another in order to obtain a more accurate estimate of the true CATE for each sample. The study presents a meta learning method to transfer data from a dataset to a new dataset, which is then used to generate a CATE estimator."
"We show that catastrophic forgetting occurs within what is considered to be a single task and find that examples that are not prone to forgetting can be removed from the training set without loss of generalization. Studies the forgetting behavior of training examples during SGD, and shows there exist ""support examples"" in neural network training across different network architectures. This study analyzes the extent to which networks learn to correctly classify specific examples and then forget these examples over the course of training. The study studies whether some examples in training neural networks are harder to learn than others. Such examples are forgotten and relearned multiple times through learning.","Unforgettable examples can be learned during training, while others are forgotten during training. This study investigates the phenomenon of forgetting events in deep neural networks and investigates the correlation between forgetting statistics and the intrinsic dimension of the learning problem. The authors investigate the relationship between forgetting events and generalization performance of deep neural architectures, and show that forgetting events can be used to identify ""important"" samples."
"A class of networks that generate simple models on the fly (called explanations) that act as a regularizer and enable consistent model diagnostics and interpretability. The authors claim that the previous art directly integrate neural networks into the graphical models as components, which renders the models uninterpretable. Proposal for a combination of neural nets and graphical models by using a deep neural net to predict the parameters of a graphical model.",CENs are competitive with the state-of-the-art for image and text classification and survival analysis tasks. This work introduces a new class of probabilistic models that can be used to generate explanations for complex data. The study presents a new framework for understanding the explanations generated by a deep neural network in order to improve interpretability.
"We proposed ""Difference-Seeking Generative Adversarial Network"" (DSGAN) model to learn the target distribution which is hard to collect training data. This study presents DS-GAN, which aims to learn the difference between any two distributions whose samples are difficult or impossible to collect, and shows its effectiveness on semi-supervised learning and adversarial training tasks. This paper considers the problem of learning a GAN to capture a target distribution with only very few training samples from that distribution available.","Generative approaches are developed for learning data distribution from its samples and thereafter produce novel and high-dimensional samples from learned distributions, such as image and speech synthesis BID18 ). This work introduces a new GAN, DSGAN, which learns a mixture distribution from the data generated by the generator and discriminator. The work presents a new method for generating samples from the generated data that is suitable for semi-supervised learning."
"We present NormCo, a deep coherence model which considers the semantics of an entity mention, as well as the topical coherence of the mentions within a single document to perform disease entity normalization. Uses a GRU autoencoder to represent the ""context"" (related enitities of a given disease within the span of a sentence), solving the BioNLP task with significant improvements over the best-known methods.","Improving disease normalization with a combination of semantic features and topical coherence. This work presents a novel method for improving the accuracy and predictive quality of biomedicine by combining two different approaches. The authors present a new approach to disease normalizing that combines semantic features with coherence, which improves the accuracy of the previous methods."
"We present a single shot analysis of a trained neural network to remove redundancy and identify optimal network structure This article proposes a set of heuristics for identifying a good neural network architecture, based on PCA of unit activations over the dataset This work presents a framework for optimising neural networks architectures through the identification of redundant filters across layers","This article analyzes all layers of neural networks in a single shot and identifies an optimal structure in terms of both width and depth, without any iterative searches for thresholds. This article presents a method for segmenting neural networks based on the number of significant filters in each layer of the network. The authors present a method to reduce the dimensionality of a neural network by reducing its number of 'principal filters'."
"The first deep learning approach to MFSR to solve registration, fusion, up-sampling in an end-to-end manner. This study proposes an end-to-end multi-frame super-resolution algorithm, that relies on a pair-wise co-registrations and fusing blocks (convolutional residual blocks), embedded in a encoder-decoder network 'HighRes-net' that estimates the super-resolution image. This article proposes a framework including recursive fusion to co-registration loss to solve the problem of super-resolution results and high-resolution labels not being pixel aligned.","A deep learning framework that solves the co-registration, fusion and registration-at-loss problems in an end-to-end learning framework. This work introduces a deep learning approach to solve the problem of single image super-resolution (MFSR) by combining two differentiable registration and registration components. The authors present a deep-learning framework for multi-image super-resolution that combines multiple low-resolution images into one image."
We introduce a technique that allows for gradient based training of quantized neural networks. Proposes a unified and general way of training neural networks with reduced precision quantized synaptic weights and activations. A new approach to quantizing activations which is state of the art or competitive on several real image problems. A method for learning neural networks with quantized weights and activations by stochastically quantizing values and replacing the resulting categotical distribution with a continuous relaxation,Stochastic rounding can be used to reduce the precision of neural network quantization. This paper introduces a new method for quantizing neural networks with reduced numerical precision. The authors present a method for reducing numerical precision of a neural network by using a stochastic rounding procedure. This work presents a method to reduce numerical precision in neural networks by reducing the number of quantization operations in the network.
"Interpretation by Identifying model-learned features that serve as indicators for the task of interest. Explain model decisions by highlighting the response of these features in test data. Evaluate explanations objectively with a controlled dataset. This paper proposes a method for producing visual explanations for deep neural network outputs and releases a new synthetic dataset. A method for Deep Neural Networks that identifies automatically relevant features of the set of the classes, supporting interpretation and explanation without relying on additional annotations.","An automatic neural network prediction method based on feature selection This paper introduces a method to predict the class of interest of a given neural network in a given dataset. The authors present a method for predicting a class using a network-encoded feature label, which provides a visual explanation of the predicted class of an image."
"A method that build representations of sequential data and its dynamics through generative models with an active process Combines neural networks and Gaussian distributions to create an architecture and generative model for images and video which minimizes the error between generated and supplied images. The paper proposes a Bayesian network model, realized as a neural network, that learns different data in the form of a linear dynamical system",A novel machine learning architecture that learns to adapt to changing dynamics in the environment. This work presents a novel model of machine learning that is able to learn to adapt dynamically to changing environments. The authors present a method for learning a generative model of the environment by learning a latent representation of the inputs and the dynamics of the data.
"Obtains state-of-the-art accuracy for quantized, shallow nets by leveraging distillation. Proposes small and low-cost models by combining distillation and quantization for vision and neural machine translation experiments This article presents a framework of using the teacher model to help the compression for the deep learning model in the context of model compression.","Quantized distillation and leverages distillation during the training process, by incorporating distillation loss, expressed with respect to the teacher, into the training of a student network whose weights are quantized to a limited set of levels. This work introduces a new method for distillation of deep neural networks, where the weight is quantized in order to improve the accuracy of the model."
"We use question-answering to evaluate how much knowledge about the environment can agents learn by self-supervised prediction. Proposes QA as a tool to investigate what agents learn about in the world, arguing this as an intuitive method for humans which allows for arbitrary complexity. The authors propose a framework to assess representations built by predictive models that contain sufficient information to answer questions about the environment they are trained on, showing those by SimCore contained sufficient information for the LSTM to answer questions accurately.","A question-answering evaluation paradigm for agents trained to answer questions about the environment. The study presents a method for answering questions from an environment-based exploration objective by using a QA decoder trained on the agent's internal memory. This work investigates the problem of answering questions in a context where the agent is learning to understand the environment, and shows that QA can be used to train agents to answer more complex questions than previously thought."
"We train with state aligned vector rewards an agent predicting state changes from action distributions, using a new reinforcement learning technique inspired by quantile regression. Presents algorithm that aims to speed up reinforcement learning in situations where the reward is aligned with the state space. This study addresses RL in the continuous action space, using a re-parametrised policy and a novel vector-based training objective. This study proposes to mix distributional RL with a net in charge of modeling the evolution of the world in terms of quantiles, claiming improvements in sample efficiency.","A deep reinforcement learning algorithm that approximates the quantile functions of the action dimensions in a d-dimensional hypercube. This article introduces a new reinforcement learning method for training agents on vector rewards using quantile regression. This work introduces a deep neural network architecture to train agents on vectors with a quantile function, and shows that it can be trained faster than other methods."
"Learn representations for images that factor out a single attribute. This work builds on Conditional VAE GANs to allow attribute manipulation in the synthesis process. This paper proposes a generative model to learn the representation which can separate the identity of an object from an attribute, and extends the autoencoder adversarial by adding an auxiliary network.","A novel convolutional GAN architecture that learns to factor attributes out of the latent space in order to achieve competitive scores on a facial attribute classification task. This article introduces a new convolutionAL GAN, IFcVAE-GAN, which learns a latent space representation that separates an object category from its attributes. This work presents a novel Convolutional Generative Adversarial Ecosystem (VAE) model that learns an auxiliary classifier to factorize the representation. The authors present a convolutionial GAN based on the VAE, which can be used for image attribute synthesis."
We take face recognition as a breaking point and propose model distillation with knowledge transfer from face classification to alignment and verification This work proposes to transfer the classifier from the model for face classification to the task of alignment and verification. The manuscript presents experiments on distilling knowledge from a face classification model to student models for face alignment and verification.,"A method for distillation of knowledge in face alignment and verification by transferring the distilled knowledge from the teacher network to the student network. This work introduces a new distillation method for face alignment, which uses a common initialization trick to further boost the distillation performance of the teacher networks. The study presents a method to distill knowledge from a teacher network into a deep ResNet-50/8 model."
"New state-of-the-art framework for image restoration The paper proposes a convolutional neural network architecture that includes blocks for local and non-local attention mechanisms, which are claimed to be responsible for achieving excellent results in four image restoration applications. This paper proposes a residual non-local attention network for image restoration","Local and non-local attention to better guide feature extraction in deep neural networks. This work presents a deep neural network architecture that learns to extract features from hierarchical layers of the image. The authors study the problem of image generation in deep networks, and show that local attention is beneficial for image generation."
"We present an influence-directed approach to constructing explanations for the behavior of deep convolutional networks, and show how it can be used to answer a broad set of questions that could not be addressed by prior work. A way to measure influence that satisfies certain axioms, and a notion of influence that can be used to identify what input part is most influential for the output of a neuron in a deep neural network. This work proposes to measure the influence of single neurons with regard to a quantity of interest represented by another neuron.",Localizing relevance of neurons in convolutional neural networks This work presents a new approach to interpreting the influence of neural networks on the output of images. The authors present a method for learning the influence on the outputs of convolutionally neural networks by using an axiomatic way of explaining the structure of a neural network.
"In visual prediction tasks, letting your predictive model choose which times to predict does two things: (i) improves prediction quality, and (ii) leads to semantically coherent ""bottleneck state"" predictions, which are useful for planning. A method on prediction of frames in a video, the approach including that target prediction is floating, resolved by a minimum on the error of prediction. Reformulates the task of video prediction/interpolation so that a predictor is not forced to generate frames at fixed time intervals, but instead is trained to generate frames that happen at any point in the future.","A novel method to train time-agnostic CVAE-GANs with a fixed minimum over time loss. This paper presents a novel method for training video prediction models that can be applied to multiple tasks at once. The authors present a new method for learning video prediction, called TAP, which is based on a generalized minimum-over-time loss, and shows that it is more efficient than deterministic methods."
We perform functional variational inference on the stochastic processes defined by Bayesian neural networks. Fitting of variational Bayesian Neural Network approximations in functional form and considering matching to a stochastic process prior implicitly via samples. Presents a novel ELBO objective for training BNNs which allows for more meaningful priors to be encoded in the model rather than the less informative weight priors features in the literature. Presents a new variational inference algorithm for Bayesian neural network models where the prior is specified functionally rather than via a prior over weights.,"An implicit variational inference algorithm that approximates the functional ELBO using finite measurement sets and the spectral Stein gradient estimator. This article presents a method for training neural networks with a generative prior, which can be used to estimate the log density derivative function of a function. The authors present a novel approach for learning generative inference based on the log-ML distribution of functions in a neural network."
"Learning deep latent variable MRFs with a saddle-point objective derived from the Bethe partition function approximation. A method for learning deep latent-variable MRF with an optimization objective that utilizes Bethe free energy, that also solves the underlying constraints of Bethe free energy optimizations. An objective for learning latent variable MRFs based on Bethe free energy and amortized inference, different from optimizing the standard ELBO.","A saddlepoint objective for learning deep, undirected graphical models with latent variables variational inference. This article presents a saddlepoint approach to learning deep neural HMMs using the Bethe free energy approximation to the model's partition functions. This work introduces a saddle-point objective to learn deep, unsupervised graphical models using latent variables, and shows that it outperforms other approaches."
"In this work, we point to a new connection between DNNs expressivity and Sharkovsky’s Theorem from dynamical systems, that enables us to characterize the depth-width trade-offs of ReLU networks Shows how the expressive power of NN depends on its depth and width, furthering the understanding of the benefit of deep nets for representing certain function classes. The authors derive depth-width tradeoff conditions for when relu networks are able to represent periodic functions using dynamical systems analysis.","A deep neural network that can be approximated by a shallow neural network. This article studies the composition of periodic functions in deep neural networks and shows that they can be easily approximated with shallow neural networks. The authors show that deep neural nets can be trained to represent periodic functions as a function of the depth, and show that such deep networks are more stable than shallow networks."
"We propose a method that infers the time-varying data quality level for spatiotemporal forecasting without explicitly assigned labels. Introduces a new definition of data quality that relies on the notion of local variation defined in (Zhou and Scholkopf) and extends it to multiple heterogenous data sources. This article proposed a new way to evaluate the quality of different data sources with the time-vary graph model, with the quality level used as a regularization term in the objective function",Graph convolutional neural networks can be used to improve the predictive performance of neural networks via experiments on urban heat island prediction in Los Angeles. This paper presents a graph convolutionAL neural network with graph connectivity that is more robust to local variation than other networks. The authors present a graph-based neural network architecture that is able to predict temperature in the summer and winter seasons using data from different nodes.
"We show that training a deep network using batch normalization is equivalent to approximate inference in Bayesian models, and we demonstrate how this finding allows us to make useful estimates of the model uncertainty in conventional networks. This study proposes using batch normalisation at test time to get the predictive uncertainty, and shows Monte Carlo prediction at test time using batch norm is better than dropout. Proposes that the regularization procedure called batch normalization can be understood as performing approximate Bayesian inference, which performs similarly to MC dropout in terms of the estimates of uncertainty that it produces.","A Bayesian approach for estimating model uncertainty in deep neural networks. This paper presents a Bayesian framework for estimating the uncertainty of deep neural network predictions. The authors provide a Bayes-based approach to estimating uncertainty in neural networks based on batch normalization, and show that it performs on par with MCDO. This work studies the predictive uncertainty of neural networks using batch normalized models"
"Understanding the neural network Hessian eigenvalues under the data generating distribution. This article analyzes the spectrum of the Hessian matrix of large neural networks, with an analysis of max/min eigenvalues and visualization of spectra using a Lanczos quadrature approach. This work uses the random matrix theory to study the spectrum distribution of the empirical Hessian and true Hessian for deep learning, and proposes an efficient spectrum visualization methods.","A method to analyze the spectral differences between the Empirical Hessian and the True Hessian. This work studies the spectral perturbations between the two distributions, and presents a method for studying the spectral difference between the true and false Hessian distributions. The authors investigate the relationship between the values of the two different distributions and show that the true Hessian is more robust than the False Hessian on a large dataset."
"We introduce the Recurrent Discounted Unit which applies attention to any length sequence in linear time This study proposes the Recurrent Discounted Attention (RDA), an extension to Recurrent Weighted Average (RWA) by adding a discount factor. Extends the recurrent weight average to overcome the limitation of the original method while maintaining its advantage and proposes the method of using Elman nets as the base RNN","A new recurrent unit for the LSTM that is able to discount the attention applied to previous timesteps. This article introduces a new unit for LSTMs that can be used to compress information in a sequence. The authors introduce a new RWA, which extends the Recurrent Discounted Attention (RWA) unit by allowing it to discount its attention on previous inputs based on later information."
"How you should evaluate adversarial attacks on seq2seq The authors investigate ways of generating adversarial examples, showing that adversarial training with the attack most consistent with the introduced meaning-preservation criteria results in improved robustness to this type of attack without degradation in the non-adversarial setting. The paper is about meaning-preserving adversarial perturbations in the context of Seq2Seq models","A new method to evaluate the effectiveness of adversarial attacks on word-based MT systems and show, via human and automatic evaluation, that they produce more semantically similar adversarial inputs than unconstrained attacks. This article presents a novel method for evaluating the efficacy of adversarially inspired word substitution attacks on machine learning systems."
Imposing graph structure on neural network layers for improved visual interpretability. A novel regularizer to impose graph structure upon hidden layers of a Neural Network to improve the interpretability of hidden representations. Highlights the contribution of graph spectral regularizer to the interpretability of neural networks.,"A graph-structured neural network with spectral regularization that can be used to enforce spectral properties of the activations generated by them. This work introduces a new class of convolutional regularizations for the activation of neural networks, which is based on graph-translated Gaussians as dictionary atoms. The authors introduce a graph-based regularization method for generating spectral patterns in neural networks."
A framework for learning high-quality sentence representations efficiently. Proposes a faster algorithm for learning SkipThought-style sentence representations from corpora of ordered sentences that swaps the word-level decoder for a contrastive classification loss. This article proposes a framework for unsupervised learning of sentence representations by maximizing a model of the probability of true context sentences relative to random candidate sentences,A novel approach for learning sentence encoders with skip-thought vectors. This work introduces a new model for sentence embedding that is more efficient than existing models. The authors introduce a new approach to sentence encoder learning which uses skip-grams as a representation of the input and the output of the decoder. This article presents a novel way of learning sentences using skip-words
Provides an unbiased version of truncated backpropagation by sampling truncation lengths and reweighting accordingly. Proposes stochastic determination methods for truncation points in backpropagation through time. A new approximation to backpropagation through time to overcome the computational and memory loads that arise when having to learn from long sequences.,"Stochastic gradient descent with biased estimates, such as the one provided by truncated BPTT, can lead to divergence even in simple situations and even with large truncation lengths FIG3. This article presents a novel gradient descent algorithm for recurrent learning that is unbiased and provably unbiased. The authors introduce a new algorithm for training deep neural networks, called Fixed-Truncated Probabilistic Gradient Extraction (ARTBP), which is based on a deterministic gradient descent scheme."
"Exploration using Distributional RL and truncagted variance. Presents an RL method to manage exploration-explotation trade-offs via UCB techniques. A method to use the distribution learned by Quantile Regression DQN for exploration, in place of the usual epsilon-greedy strategy. Proposes new algorithsms (QUCB and QUCB+) to handle the exploration tradeoff in Multi-Armed Bendits and more generally in Reinforcement Learning",An exploration algorithm for multi-armed bandits using symmetric probability density functions. This article studies the asymmetry of the distributions estimated by random random variables in a multi-arm bandits setting. The study presents a method to estimate the upper confidence bound of the distribution of the return for a single arm based on the empirical distribution of each arm.
"Building a TTS model with Gaussian Mixture VAEs enables fine-grained control of speaking style, noise condition, and more. Describes the conditioned GAN model to generate speaker conditioned Mel spectra by augmenting the z-space corresponding to the identification This article proposes a two layer latent variable model to obtain disentangled latent representation, thus facilitating fine-grained control over various attributes This paper proposes a model that can control non-annotated attributes such as speaking style, accent, background noise, etc.",A new generative model to synthesize speech that resembles the prosody of a reference utterance. This work introduces a novel generative language model (GMVAE) that combines autoencoder and conditional auto-encoding with a latent variable. The study presents a novel approach to generating generative languages by combining autoencoders with a fixed set of latent variables.
"In this paper, we propose KL-CPD, a novel kernel learning framework for time series CPD that optimizes a lower bound of test power via an auxiliary generative model as a surrogate to the abnormal distribution. Describes a novel approach to optimising the choice of kernel towards increased testing power and shown to offer improvements over alternatives.","A new kernel parametrization framework for the kernel two-sample test. This work introduces a new kernel selection objective, KL-CPD, which aims at optimizing test power via an auxiliary generative model. The authors present a method to optimize the test power of a kernel with limited samples from the abnormal distribution Q. This study presents a new approach to kernel two sample testing that achieves better performance than previous approaches."
"A bottom-up algorithm that expands CNNs starting with one feature per layer to architectures with sufficient representational capacity. Proposes to dynamically adjust the feature map depth of a fully convolutional neural network, formulating a measure of self-resemblance and boosting performance. Introduces a simple correlation-based metric to measure whether filters in neural networks are being used effectively, as a proxy for effective capacity. Aims to address the deep learning architecture search problem via incremental addition and removal of channels in intermediate layers of the network.",A new algorithm to train deep neural networks with one feature per layer and widen them until a task depending suitable representational capacity is achieved. This article introduces a new method for training deep neural network architectures with one or more features per layer. The authors introduce a new approach to training deep convolutional neural networks using a top-down pruning procedure that adds features at each layer and expands the representation capacity.
